Fiscal Year,Service Level (or State Project),State,Location Identifier,Airport Name,Grant Sequence Number,AIP Federal Funds, Work Description,Hub Type,,,
2007,P,CA,SFO,San Francisco International,39,"$18,175,000 ","Improve Runway Safety Area  - 01L/19R, Rehabilitate Runway - 10R/28L, Rehabilitate Runway Lighting  - 01L/19R, Update Miscellaneous Study",L,,,
2007,P,CO,DEN,Denver International,45,"$1,643,278 ",Update Airport Master Plan Study,L,,,
2007,P,CO,DEN,Denver International,44,"$1,800,000 ",Widen Taxiway,L,,,
2007,P,CO,DEN,Denver International,43,"$1,808,999 ",Construct Deicing Containment Facility,L,,,
2007,P,CO,DEN,Denver International,46,"$8,698,750 ",Rehabilitate Taxiway,L,,,
2007,P,DC,DCA,Ronald Reagan Washington National,23,"$658,373 ",Improve Runway Safety Area  - 01/19,L,,,
2007,P,DC,IAD,Washington Dulles International,36,"$26,662,414 ",Construct Runway  - Plan-1,L,,,
2007,P,FL,FLL,Fort Lauderdale/Hollywood International,54,"$545,250 ",Conduct Environmental Study,L,,,
2007,P,FL,FLL,Fort Lauderdale/Hollywood International,53,"$549,000 ",Update Airport Master Plan Study,L,,,
2007,P,FL,FLL,Fort Lauderdale/Hollywood International,55,"$636,000 ",Conduct Noise Compatibility Plan Study,L,,,
2007,P,FL,MIA,Miami International,54,"$8,000,000 ",Construct Runway  - Plan-1,L,,,
2007,P,FL,MIA,Miami International,55,"$10,760,261 ","Construct Taxiway , Rehabilitate Runway  - 09/27",L,,,
2007,P,FL,MCO,Orlando International,95,"$738,123 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,FL,MCO,Orlando International,96,"$2,000,000 ",Construct Taxiway,L,,,
2007,P,FL,MCO,Orlando International,98,"$5,757,000 ","Rehabilitate Taxiway , Rehabilitate Terminal Building",L,,,
2007,P,FL,MCO,Orlando International,97,"$5,900,000 ",Construct Runway  - 17L/35R,L,,,
2007,P,FL,TPA,Tampa International,48,"$8,818,314 ","Construct Taxiway , Extend Taxiway , Rehabilitate Taxiway",L,,,
2007,P,GA,ATL,Hartsfield - Jackson Atlanta International,80,"$990,000 ",Update Airport Master Plan Study,L,,,
2007,P,GA,ATL,Hartsfield - Jackson Atlanta International,77,"$6,308,300 ",Construct Runway - Plan-1,L,,,
2007,P,GA,ATL,Hartsfield - Jackson Atlanta International,78,"$7,000,000 ",Construct Taxiway,L,,,
2007,P,GA,ATL,Hartsfield - Jackson Atlanta International,76,"$12,000,000 ",Extend Runway - 10/28,L,,,
2007,P,GA,ATL,Hartsfield - Jackson Atlanta International,79,"$15,167,649 ","Improve Runway Safety Area  - 09L/27R, Rehabilitate Apron",L,,,
2007,P,IL,MDW,Chicago Midway International,70,"$3,950,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,IL,MDW,Chicago Midway International,74,"$5,706,849 ",Construct Terminal Building,L,,,
2007,P,IL,MDW,Chicago Midway International,71,"$5,730,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,IL,MDW,Chicago Midway International,72,"$7,055,696 ","Improve Runway Safety Area - 04R/22L, Improve Runway Safety Area - 13C/31C",L,,,
2007,P,IL,MDW,Chicago Midway International,73,"$12,000,000 ",Construct Apron,L,,,
2007,P,IL,ORD,Chicago O'Hare International,88,"$1,865,052 ",Conduct Environmental Study,L,,,
2007,P,IL,ORD,Chicago O'Hare International,92,"$2,256,928 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2007,P,IL,ORD,Chicago O'Hare International,89,"$3,200,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,IL,ORD,Chicago O'Hare International,90,"$18,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2007,P,IL,ORD,Chicago O'Hare International,93,"$18,033,438 ",Improve Runway Safety Area - 04R/22L,L,,,
2007,P,IL,ORD,Chicago O'Hare International,91,"$28,400,000 ",Construct Runway  - 09L/27R,L,,,
2007,P,KY,CVG,Cincinnati/Northern Kentucky International,56,"$1,398,370 ",Acquire Land for Noise Compatibility within 70 - 74 DNL,L,,,
2007,P,KY,CVG,Cincinnati/Northern Kentucky International,58,"$7,883,153 ",Acquire Land for Noise Compatibility within 65 - 69 DNL,L,,,
2007,P,KY,CVG,Cincinnati/Northern Kentucky International,57,"$12,402,502 ","Rehabilitate Apron , Rehabilitate Apron , Rehabilitate Runway - 09/27",L,,,
2007,P,KY,CVG,Cincinnati/Northern Kentucky International,55,"$15,000,000 ",Construct Runway,L,,,
2007,P,MA,BOS,General Edward Lawrence Logan International,92,"$250,000 ",Conduct Noise Compatibility Plan Study,L,,,
2007,P,MA,BOS,General Edward Lawrence Logan International,91,"$15,675,924 ",Construct Runway - Plan-1,L,,,
2007,P,MD,BWI,Baltimore/Washington International Thurgood Marshal,79,"$173,100 ",Safety Management System (SMS) Program,L,,,
2007,P,MD,BWI,Baltimore/Washington International Thurgood Marshal,80,"$1,875,950 ",Rehabilitate Apron,L,,,
2007,P,MD,BWI,Baltimore/Washington International Thurgood Marshal,78,"$6,014,036 ",Rehabilitate Taxiway,L,,,
2007,P,MI,DTW,Detroit Metropolitan Wayne County,84,"$200,000 ",Safety Management System (SMS) Program,L,,,
2007,P,MI,DTW,Detroit Metropolitan Wayne County,82,"$5,099,971 ",VALE Infrastructure,L,,,
2007,P,MI,DTW,Detroit Metropolitan Wayne County,83,"$5,168,808 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2007,P,MI,DTW,Detroit Metropolitan Wayne County,80,"$19,744,902 ","Construct Apron, Construct Runway - 04L/22R, Environmental Mitigation",L,,,
2007,P,MI,DTW,Detroit Metropolitan Wayne County,81,"$22,107,995 ",Rehabilitate Runway - 03R/21L,L,,,
2007,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain,90,"$3,738,711 ",Rehabilitate Runway - 12R/30L,L,,,
2007,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,88,"$1,400,542 ",Rehabilitate Apron,L,,,
2007,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,89,"$4,237,398 ",Rehabilitate Taxiway,L,,,
2007,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,87,"$7,000,000 ",Construct Runway - Plan-1,L,,,
2007,P,MO,STL,Lambert-St Louis International,109,"$1,849,701 ",Improve Runway Safety Area - 12L/30R,M,,,
2007,P,MO,STL,Lambert-St Louis International,110,"$2,324,128 ",Rehabilitate Taxiway,M,,,
2007,P,MO,STL,Lambert-St Louis International,107,"$2,441,712 ",Rehabilitate Taxiway,M,,,
2007,P,MO,STL,Lambert-St Louis International,106,"$3,800,828 ",Security Enhancements,M,,,
2007,P,MO,STL,Lambert-St Louis International,105,"$3,840,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,M,,,
2007,P,MO,STL,Lambert-St Louis International,103,"$4,800,000 ","Conduct Airport Master Plan Study, Conduct Noise Compatibility Plan Study",M,,,
2007,P,MO,STL,Lambert-St Louis International,104,"$6,555,874 ",Acquire Land for Noise Compatibility within 70 - 74 DNL,M,,,
2007,P,MO,STL,Lambert-St Louis International,102,"$20,684,440 ",Construct Runway - Plan-1,M,,,
2007,P,NC,CLT,Charlotte/Douglas International,56,"$11,132,191 ",Construct Runway  - 18R/36L,L,,,
2007,P,NJ,EWR,Newark Liberty International,115,"$3,419,141 ",Improve Access Road,L,,,
2007,P,NJ,EWR,Newark Liberty International,114,"$5,000,000 ",Expand Terminal Building,L,,,
2007,P,NJ,EWR,Newark Liberty International,113,"$9,803,961 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,NV,LAS,McCarran International,63,"$2,124,233 ",Conduct Environmental Study,L,,,
2007,P,NV,LAS,McCarran International,62,"$17,618,533 ","Rehabilitate Apron, Rehabilitate Runway - 07R/25L",L,,,
2007,P,NY,JFK,John F Kennedy International,152,"$699,300 ",Rehabilitate Taxiway,L,,,
2007,P,NY,JFK,John F Kennedy International,153,"$5,220,294 ",Rehabilitate Runway  - 04R/22L,L,,,
2007,P,NY,JFK,John F Kennedy International,151,"$5,801,369 ",Improve Runway Safety Area  - 04R/22L,L,,,
2007,P,NY,JFK,John F Kennedy International,150,"$13,733,232 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,NY,LGA,La Guardia,124,"$1,793,597 ",Security Enhancements,L,,,
2007,P,NY,LGA,La Guardia,121,"$2,069,519 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,NY,LGA,La Guardia,122,"$2,099,086 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,NY,LGA,La Guardia,120,"$3,975,290 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,NY,LGA,La Guardia,123,"$4,174,200 ",Rehabilitate Taxiway,L,,,
2007,P,OR,PDX,Portland International,56,"$1,078,368 ",Extend Runway - 10L/28R,M,,,
2007,P,PA,PHL,Philadelphia International,81,"$1,500,000 ",Construct Runway  - Plan-1,L,,,
2007,P,PA,PHL,Philadelphia International,80,"$2,400,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2007,P,PA,PHL,Philadelphia International,82,"$9,100,000 ",Rehabilitate Taxiway,L,,,
2007,P,TX,DFW,Dallas/Fort Worth International,84,"$200,000 ",Safety Management System (SMS) Program,L,,,
2007,P,TX,DFW,Dallas/Fort Worth International,81,"$2,752,000 ",Extend Runway  - 17C/35C,L,,,
2007,P,TX,DFW,Dallas/Fort Worth International,83,"$9,089,286 ","Improve Terminal Building , Rehabilitate Apron , Rehabilitate Runway - 17R/35L, Rehabilitate Runway Lighting  - 17C/35C, Rehabilitate Taxiway",L,,,
2007,P,TX,DFW,Dallas/Fort Worth International,82,"$18,370,595 ",Construct Taxiway,L,,,
2007,P,TX,IAH,George Bush Intercontinental/Houston,64,"$62,163 ",VALE Vehicle,L,,,
2007,P,TX,IAH,George Bush Intercontinental/Houston,63,"$623,975 ",Acquire Aircraft Rescue & Fire Fighting Vehicle,L,,,
2007,P,TX,IAH,George Bush Intercontinental/Houston,62,"$5,662,152 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2007,P,TX,IAH,George Bush Intercontinental/Houston,61,"$17,000,000 ",Construct Runway - 08L/26R,L,,,
2007,P,UT,SLC,Salt Lake City International,84,"$2,200,000 ",Improve Airport Drainage,L,,,
2007,P,UT,SLC,Salt Lake City International,86,"$2,530,287 ",Rehabilitate Apron,L,,,
2007,P,UT,SLC,Salt Lake City International,85,"$6,800,000 ","Rehabilitate Runway - 17/35, Rehabilitate Taxiway",L,,,
2007,P,WA,SEA,Seattle-Tacoma International,108,"$200,000 ",Safety Management System (SMS) Program,L,,,
2007,P,WA,SEA,Seattle-Tacoma International,107,"$1,747,834 ",Noise Mitigation Measures for Public Buildings,L,,,
2007,P,WA,SEA,Seattle-Tacoma International,105,"$2,141,866 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2007,P,WA,SEA,Seattle-Tacoma International,103,"$5,000,000 ",Install Miscellaneous NAVAIDS,L,,,
2007,P,WA,SEA,Seattle-Tacoma International,106,"$7,748,855 ",Acquire Land for Noise Compatibility within 70 - 74 DNL,L,,,
2007,P,WA,SEA,Seattle-Tacoma International,102,"$14,000,000 ",Improve Runway Safety Area - 16C/34C,L,,,
2007,P,WA,SEA,Seattle-Tacoma International,104,"$17,590,941 ",Construct Runway  - Plan-1,L,,,
2008,P,AZ,PHX,Phoenix Sky Harbor International,64,"$8,259,059 ",Rehabilitate Taxiway,L,,,
2008,P,CA,LAX,Los Angeles International,47,"$5,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,CA,LAX,Los Angeles International,48,"$5,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2008,P,CA,LAX,Los Angeles International,50,"$5,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2008,P,CA,LAX,Los Angeles International,51,"$5,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,CA,LAX,Los Angeles International,52,"$5,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,CA,LAX,Los Angeles International,49,"$9,212,489 ","Construct Taxiway , Rehabilitate Taxiway",L,,,
2008,P,CA,LAX,Los Angeles International,46,"$12,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,CA,OAK,Metropolitan Oakland International,45,"$550,000 ",Improve Runway Safety Area  - 09L/27R,M,,,
2008,P,CA,OAK,Metropolitan Oakland International,43,"$1,000,000 ",Install Noise Monitoring System,M,,,
2008,P,CA,OAK,Metropolitan Oakland International,46,"$1,429,042 ",Rehabilitate Taxiway Lighting,M,,,
2008,P,CA,OAK,Metropolitan Oakland International,44,"$10,417,919 ",Rehabilitate Taxiway,M,,,
2008,P,CA,SAN,San Diego International,51,"$874,000 ",Conduct Noise Compatibility Plan Study,L,,,
2008,P,CA,SAN,San Diego International,52,"$1,811,420 ",Acquire Aircraft Rescue & Fire Fighting Vehicle,L,,,
2008,P,CA,SAN,San Diego International,53,"$5,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,CA,SAN,San Diego International,50,"$10,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2008,P,CA,SAN,San Diego International,54,"$20,209,569 ","Construct Taxiway, Rehabilitate Taxiway",L,,,
2008,P,CA,SFO,San Francisco International,41,"$3,500,000 ",Rehabilitate Taxiway,L,,,
2008,P,CA,SFO,San Francisco International,40,"$16,013,539 ","Conduct Miscellaneous Study , Improve Airport Drainage , Improve Runway Safety Area  - 10L/28R, Install Apron Lighting",L,,,
2008,P,CO,DEN,Denver International,48,"$1,917,752 ","Acquire Aircraft Rescue & Fire Fighting Vehicle, Acquire Snow Removal Equipment",L,,,
2008,P,CO,DEN,Denver International,47,"$3,000,000 ",Rehabilitate Taxiway,L,,,
2008,P,CO,DEN,Denver International,51,"$4,000,000 ",Expand Apron,L,,,
2008,P,CO,DEN,Denver International,49,"$5,654,556 ","Acquire Aircraft Rescue & Fire Fighting Vehicle, Acquire Snow Removal Equipment",L,,,
2008,P,CO,DEN,Denver International,50,"$7,500,000 ",Acquire Snow Removal Equipment,L,,,
2008,P,DC,IAD,Washington Dulles International,37,"$23,662,414 ",Construct Runway  - Plan-1,L,,,
2008,P,FL,FLL,Fort Lauderdale/Hollywood International,57,"$1,580,462 ",Rehabilitate Taxiway,L,,,
2008,P,FL,FLL,Fort Lauderdale/Hollywood International,58,"$2,967,621 ",Rehabilitate Taxiway,L,,,
2008,P,FL,FLL,Fort Lauderdale/Hollywood International,56,"$14,205,543 ","Construct Taxiway , Rehabilitate Taxiway",L,,,
2008,P,FL,MIA,Miami International,56,"$4,000,000 ",Construct Runway  - Plan-1,L,,,
2008,P,FL,MCO,Orlando International,101,"$546,725 ",Acquire Aircraft Rescue & Fire Fighting Vehicle,L,,,
2008,P,FL,MCO,Orlando International,103,"$1,449,108 ",Construct Runway  - 17L/35R,L,,,
2008,P,FL,MCO,Orlando International,99,"$2,000,000 ",Construct Taxiway,L,,,
2008,P,FL,MCO,Orlando International,100,"$4,260,855 ",Construct Runway  - 17L/35R,L,,,
2008,P,FL,MCO,Orlando International,102,"$5,435,487 ",Rehabilitate Taxiway,L,,,
2008,P,FL,TPA,Tampa International,49,"$5,455,062 ","Construct Taxiway , Rehabilitate Taxiway",L,,,
2008,P,GA,ATL,Hartsfield - Jackson Atlanta International,85,"$2,090,442 ",Rehabilitate Taxiway,L,,,
2008,P,GA,ATL,Hartsfield - Jackson Atlanta International,83,"$2,500,000 ",Construct Taxiway,L,,,
2008,P,GA,ATL,Hartsfield - Jackson Atlanta International,84,"$6,249,295 ",Rehabilitate Taxiway,L,,,
2008,P,GA,ATL,Hartsfield - Jackson Atlanta International,81,"$6,308,300 ",Construct Runway - Plan-1,L,,,
2008,P,GA,ATL,Hartsfield - Jackson Atlanta International,82,"$8,000,000 ",Extend Runway - 10/28,L,,,
2008,P,IL,MDW,Chicago Midway International,76,"$771,649 ",Rehabilitate Runway  - 04R/22L,L,,,
2008,P,IL,MDW,Chicago Midway International,75,"$2,214,674 ",Rehabilitate Runway - 04R/22L,L,,,
2008,P,IL,ORD,Chicago O'Hare International,97,"$300,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2008,P,IL,ORD,Chicago O'Hare International,98,"$320,000 ",Conduct Miscellaneous Study,L,,,
2008,P,IL,ORD,Chicago O'Hare International,96,"$2,913,107 ",Noise Mitigation Measures for Public Buildings,L,,,
2008,P,IL,ORD,Chicago O'Hare International,95,"$18,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,IL,ORD,Chicago O'Hare International,94,"$26,500,000 ",Construct Runway  - 09L/27R,L,,,
2008,P,KY,CVG,Cincinnati/Northern Kentucky International,60,"$653,738 ",Rehabilitate Apron,L,,,
2008,P,KY,CVG,Cincinnati/Northern Kentucky International,64,"$711,494 ",Expand Terminal Building,L,,,
2008,P,KY,CVG,Cincinnati/Northern Kentucky International,61,"$2,042,025 ",Expand Terminal Building,L,,,
2008,P,KY,CVG,Cincinnati/Northern Kentucky International,62,"$5,228,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,KY,CVG,Cincinnati/Northern Kentucky International,63,"$5,461,135 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,KY,CVG,Cincinnati/Northern Kentucky International,59,"$9,000,000 ",Construct Runway,L,,,
2008,P,MA,BOS,General Edward Lawrence Logan International,95,"$9,546,494 ",Construct Taxiway,L,,,
2008,P,MA,BOS,General Edward Lawrence Logan International,93,"$9,690,000 ",Construct Runway - Plan-1,L,,,
2008,P,MA,BOS,General Edward Lawrence Logan International,94,"$19,724,330 ",Construct Taxiway,L,,,
2008,P,MD,BWI,Baltimore/Washington International Thurgood Marshal,81,"$1,122,470 ",Conduct Environmental Study,L,,,
2008,P,MI,DTW,Detroit Metropolitan Wayne County,89,"$604,659 ","Construct Apron, Construct Runway - 04L/22R, Environmental Mitigation",L,,,
2008,P,MI,DTW,Detroit Metropolitan Wayne County,86,"$1,000,000 ",Rehabilitate Taxiway,L,,,
2008,P,MI,DTW,Detroit Metropolitan Wayne County,90,"$1,607,960 ",Rehabilitate Taxiway,L,,,
2008,P,MI,DTW,Detroit Metropolitan Wayne County,88,"$2,207,046 ",Rehabilitate Runway  - 09L/27R,L,,,
2008,P,MI,DTW,Detroit Metropolitan Wayne County,87,"$3,800,000 ",Construct Deicing Containment Facility,L,,,
2008,P,MI,DTW,Detroit Metropolitan Wayne County,85,"$18,281,315 ","Construct Apron, Construct Runway - 04L/22R, Environmental Mitigation",L,,,
2008,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain,93,"$1,535,175 ",Improve Runway Safety Area - 12R/30L,L,,,
2008,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain,94,"$2,853,330 ","Rehabilitate Taxiway, Rehabilitate Taxiway",L,,,
2008,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain,92,"$2,964,942 ",Rehabilitate Taxiway,L,,,
2008,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain,91,"$5,000,000 ",Construct Runway - Plan-1,L,,,
2008,P,MO,STL,Lambert-St Louis International,113,"$1,287,534 ",Rehabilitate Taxiway,M,,,
2008,P,MO,STL,Lambert-St Louis International,114,"$2,383,328 ",Rehabilitate Taxiway,M,,,
2008,P,MO,STL,Lambert-St Louis International,108,"$3,207,011 ",Rehabilitate Runway - 12L/30R,M,,,
2008,P,MO,STL,Lambert-St Louis International,111,"$3,729,389 ",Construct Runway  - Plan-1,M,,,
2008,P,MO,STL,Lambert-St Louis International,112,"$11,141,408 ",Construct Runway - Plan-1,M,,,
2008,P,NC,CLT,Charlotte/Douglas International,57,"$22,369,458 ",Construct Runway  - 18R/36L,L,,,
2008,P,NJ,EWR,Newark Liberty International,119,"$1,614,809 ",Security Enhancements,L,,,
2008,P,NJ,EWR,Newark Liberty International,120,"$1,996,011 ",Rehabilitate Runway  - 11/29,L,,,
2008,P,NJ,EWR,Newark Liberty International,116,"$2,328,300 ",Rehabilitate Taxiway,L,,,
2008,P,NJ,EWR,Newark Liberty International,118,"$3,010,963 ",Rehabilitate Runway - 11/29,L,,,
2008,P,NV,LAS,McCarran International,67,"$1,705,941 ",Rehabilitate Runway - 07R/25L,L,,,
2008,P,NV,LAS,McCarran International,65,"$3,500,000 ",Conduct Environmental Study,L,,,
2008,P,NV,LAS,McCarran International,64,"$21,724,333 ","Rehabilitate Runway  - 07R/25L, Rehabilitate Runway  - 07R/25L",L,,,
2008,P,NY,JFK,John F Kennedy International,160,"$1,277,730 ",Update Metropolitan System Plan Study,L,,,
2008,P,NY,JFK,John F Kennedy International,156,"$1,477,845 ",Rehabilitate Runway  - 04L/22R,L,,,
2008,P,NY,JFK,John F Kennedy International,154,"$1,539,876 ",Noise Mitigation Measures for Public Buildings,L,,,
2008,P,NY,JFK,John F Kennedy International,161,"$1,815,857 ",Rehabilitate Taxiway,L,,,
2008,P,NY,JFK,John F Kennedy International,159,"$2,467,706 ",Rehabilitate Taxiway,L,,,
2008,P,NY,JFK,John F Kennedy International,155,"$2,700,000 ",Extend Taxiway,L,,,
2008,P,NY,JFK,John F Kennedy International,157,"$6,227,290 ",Rehabilitate Taxiway,L,,,
2008,P,NY,LGA,La Guardia,127,"$1,030,716 ",Improve Access Road,L,,,
2008,P,NY,LGA,La Guardia,125,"$2,260,000 ",Security Enhancements,L,,,
2008,P,NY,LGA,La Guardia,126,"$2,800,000 ",Improve Access Road,L,,,
2008,P,OR,PDX,Portland International,58,"$1,557,632 ",Rehabilitate Taxiway,M,,,
2008,P,OR,PDX,Portland International,57,"$4,625,030 ","Rehabilitate Apron, Rehabilitate Taxiway",M,,,
2008,P,PA,PHL,Philadelphia International,86,"$50,000 ",Conduct Noise Compatibility Plan Study,L,,,
2008,P,PA,PHL,Philadelphia International,87,"$451,950 ",VALE Infrastructure,L,,,
2008,P,PA,PHL,Philadelphia International,83,"$3,484,301 ","VALE Infrastructure , VALE Vehicle",L,,,
2008,P,PA,PHL,Philadelphia International,84,"$6,950,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,PA,PHL,Philadelphia International,85,"$10,246,000 ",Rehabilitate Runway  - 09R/27L,L,,,
2008,P,TX,DFW,Dallas/Fort Worth International,87,"$2,279,293 ",Rehabilitate Runway - 17L/35R,L,,,
2008,P,TX,DFW,Dallas/Fort Worth International,85,"$2,552,000 ",Extend Runway  - 17C/35C,L,,,
2008,P,TX,DFW,Dallas/Fort Worth International,86,"$6,906,034 ","Improve Terminal Building , Rehabilitate Runway  - 17L/35R, Rehabilitate Taxiway",L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,67,"$30,808 ",VALE Vehicle,L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,66,"$378,648 ",Acquire Land for Noise Compatibility within 65 - 69 DNL,L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,73,"$905,868 ",Construct Taxiway,L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,74,"$1,130,857 ",Acquire Land for Noise Compatibility within 65 - 69 DNL,L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,70,"$2,133,112 ","VALE Infrastructure, VALE Infrastructure, VALE Infrastructure",L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,75,"$12,298,754 ",Rehabilitate Runway - 09/27,L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,68,"$13,449,622 ","Rehabilitate Runway  - 09/27, Rehabilitate Runway - 09/27",L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,65,"$17,250,000 ",Construct Runway - 08L/26R,L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,72,"$3,896,397 ",Rehabilitate Terminal Building,L,,,
2008,P,TX,IAH,George Bush Intercontinental/Houston,69,"$6,103,603 ",Rehabilitate Terminal Building,L,,,
2008,P,UT,SLC,Salt Lake City International,89,"$399,650 ",Conduct Environmental Study,L,,,
2008,P,UT,SLC,Salt Lake City International,90,"$1,051,186 ",Rehabilitate Taxiway,L,,,
2008,P,UT,SLC,Salt Lake City International,87,"$3,132,868 ",Rehabilitate Taxiway,L,,,
2008,P,UT,SLC,Salt Lake City International,88,"$5,900,000 ",Rehabilitate Apron,L,,,
2008,P,WA,SEA,Seattle-Tacoma International,114,"$375,000 ",Safety Management System (SMS) Program,L,,,
2008,P,WA,SEA,Seattle-Tacoma International,113,"$1,392,364 ",Construct Runway  - Plan-1,L,,,
2008,P,WA,SEA,Seattle-Tacoma International,112,"$1,950,145 ",Noise Mitigation Measures for Public Buildings,L,,,
2008,P,WA,SEA,Seattle-Tacoma International,110,"$2,635,208 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2008,P,WA,SEA,Seattle-Tacoma International,111,"$7,414,647 ",Acquire Land for Noise Compatibility within 65 - 69 DNL,L,,,
2008,P,WA,SEA,Seattle-Tacoma International,109,"$24,281,078 ",Construct Runway  - Plan-1,L,,,
2009,P,AZ,PHX,Phoenix Sky Harbor International,65,"$748,419 ",Rehabilitate Apron,L,,,
2009,P,AZ,PHX,Phoenix Sky Harbor International,67,"$5,614,666 ","Construct Taxiway, Rehabilitate Apron",L,,,
2009,P,AZ,PHX,Phoenix Sky Harbor International,66,"$11,719,336 ",Rehabilitate Taxiway,L,,,
2009,P,CA,LAX,Los Angeles International,56,"$2,790,345 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2009,P,CA,LAX,Los Angeles International,55,"$3,244,468 ",Construct Taxiway,L,,,
2009,P,CA,LAX,Los Angeles International,54,"$5,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2009,P,CA,LAX,Los Angeles International,59,"$10,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2009,P,CA,LAX,Los Angeles International,53,"$10,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2009,P,CA,LAX,Los Angeles International,57,"$10,832,000 ",Construct Aircraft Rescue & Fire Fighting Building,L,,,
2009,P,CA,LAX,Los Angeles International,58,"$13,581,756 ",Construct Taxiway,L,,,
2009,P,CA,OAK,Metropolitan Oakland International,47,"$1,843,521 ",Rehabilitate Apron,M,,,
2009,P,CA,OAK,Metropolitan Oakland International,49,"$5,007,822 ",Rehabilitate Apron,M,,,
2009,P,CA,OAK,Metropolitan Oakland International,48,"$9,700,000 ","Rehabilitate Apron , Rehabilitate Apron",M,,,
2009,P,CA,SAN,San Diego International,57,"$4,282,851 ","Construct Taxiway, Rehabilitate Taxiway",L,,,
2009,P,CA,SAN,San Diego International,58,"$4,875,537 ",Install Guidance Signs,L,,,
2009,P,CA,SAN,San Diego International,56,"$6,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2009,P,CA,SAN,San Diego International,59,"$31,425,870 ",Construct Apron,L,,,
2009,P,CA,SFO,San Francisco International,42,"$1,500,000 ","Improve Runway Safety Area  - 10R/28L, Install Taxiway Lighting , Rehabilitate Apron , Rehabilitate Runway  - 01R/19L, Rehabilit",L,,,
2009,P,CA,SFO,San Francisco International,47,"$4,717,328 ",VALE Infrastructure,L,,,
2009,P,CA,SFO,San Francisco International,49,"$5,250,000 ",Rehabilitate Taxiway,L,,,
2009,P,CA,SFO,San Francisco International,46,"$5,500,000 ",Rehabilitate Runway  - 10L/28R,L,,,
2009,P,CA,SFO,San Francisco International,45,"$6,529,032 ","Rehabilitate Runway  - 10L/28R, Rehabilitate Runway Lighting  - 10R/28L",L,,,
